experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,975.0430000394772,68.82656867162056,2010.5119999698218,33.37899201845466
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,1193.784999941272,56.21520123246766,1293.741000040427,51.871946547186006
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,866.1760000450158,77.47716860835708,1368.6409999991156,49.0332117772618
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,810.7070000278327,82.77819729901933,1294.0479999770105,51.85964044702532
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,782.4550000350428,85.76705880465265,1134.8459998998806,59.134776001255275
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,880.5150000625872,76.21546935058447,1156.828000034693,58.01109931466684
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,806.2050000035015,83.24044628811349,1172.9750000313288,57.212527119680814
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,830.0399999825459,80.85015662065824,1213.3239999911893,55.30992875809538
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,809.0460000858002,82.94814385446938,1318.6950000090292,50.89036054549422
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,858.0909999409414,78.20716451357585,1320.5490000700593,50.81891243447965
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,796.2880000604855,84.27712585760737,1308.3869999945819,51.29129531268494
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,870.6330000904927,77.08054253976678,1168.678999988515,57.422837238163346
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,817.917000063062,82.0485012474687,1233.5059999486475,54.404975738094365
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,861.124999914864,77.93161736871508,1249.602999905619,53.70414764134581
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,841.9279999998253,79.70855465077052,1418.6619999918548,47.304336057768026
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,811.6479999671355,82.6822267814586,1397.242999928494,48.02948664150359
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,826.9710000377017,81.15020236131677,1276.9160000516422,52.55542572673998
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,1,3,1,1024,Allreduce,780.5930000586159,85.9716446278159,1184.5770000036282,56.65217541771827
