experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_gather,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Gather,365.90499999533677,0.02098905453628094,671.6540000013538,0.011434458813592296
u280_u250_gather,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Gather,285.490999999638,0.026901023149625516,584.8579999963022,0.013131392577426584
u280_u250_gather,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Gather,284.9249999883341,0.026954461701551104,613.6120000093115,0.012516052489005197
u280_u250_gather,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Gather,267.01800000239473,0.02876210592518528,485.0640000029216,0.015832962248185273
u280_u250_gather,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Gather,291.11999999997806,0.026380873866448815,497.69100000673916,0.015431261565702426
u280_u250_gather,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Gather,270.2400000060834,0.028419182947850483,488.9140000017278,0.015708284074444297
u280_u250_gather,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Gather,257.99000000858996,0.029768595681012013,524.0840000055869,0.014654139412609676
u280_u250_gather,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Gather,267.7160000104095,0.028687116196646375,541.5119999980789,0.01418251119093805
u280_u250_gather,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Gather,319.1990000033229,0.024060225752336475,494.192999994425,0.015540487218731625
u280_u250_gather,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Gather,289.8529999981747,0.026496189447921405,482.39100000557755,0.015920695037658666
u280_u250_gather,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Gather,298.62499999921965,0.025717873587342212,518.1989999982761,0.01482056121301961
u280_u250_gather,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Gather,304.4639999956189,0.025224657102680487,550.6679999882635,0.013946697465920817
