experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Allreduce,734.1269956668839,0.04463532902809741,1703.3659969456494,0.019237204487325195
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Allreduce,636.8989998009056,0.051449287893752804,965.1569998823106,0.033950953061518144
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Allreduce,591.9770046602935,0.05535350147393638,996.8219965230674,0.032872468820205974
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Allreduce,596.9869962427765,0.05488896777690321,945.6269981455989,0.034652140922646
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Allreduce,618.5729944263585,0.05297353795793788,979.1219999897294,0.033466718141706264
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Allreduce,472.961000923533,0.06928266799168466,933.0920001957566,0.0351176518426109
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Allreduce,575.4750018240884,0.056940787864173024,966.8880011304282,0.03389017131424694
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Allreduce,607.4979974073358,0.053939272458257345,972.7180004119873,0.033687050086583535
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Allreduce,455.1899983198382,0.0719875219599523,974.6759969857521,0.03361937720979806
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Allreduce,607.0529998396523,0.05397881240790405,944.788997003343,0.03468287639243544
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Allreduce,538.060994585976,0.121800317546579,955.7999946991913,0.06856664612205343
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Allreduce,653.5409993375652,0.10027832999984371,880.0089999567717,0.07447196563128251
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Allreduce,574.5399976149201,0.11406690617199618,951.5230049146339,0.06887484554919361
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Allreduce,645.1249937526882,0.1015865152251775,818.7979983631521,0.08003927724666171
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Allreduce,469.2249931395054,0.13966860452489896,927.3799951188266,0.07066790349688616
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Allreduce,647.4309993791394,0.10122468658875837,993.7909999280237,0.06594545533693354
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Allreduce,582.8270004712977,0.11244503076728588,977.4230056791566,0.06704978256007255
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Allreduce,616.5750019135885,0.10629039418822353,915.2549973805435,0.07160408868300507
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Allreduce,617.2540015541017,0.10617347126951891,926.2690000468865,0.07075266471908555
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Allreduce,600.8320051478222,0.10907541448940662,960.3819999028929,0.06823951303400787
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,4,1024,Allreduce,612.6400039647706,0.2139461986676554,830.0940025947057,0.1579001891235155
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,4,1024,Allreduce,630.4170019575395,0.20791317428464295,925.5059994757175,0.14162198848440738
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,4,1024,Allreduce,551.5059965546243,0.237661967084374,923.4730023308657,0.14193376489531526
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,4,1024,Allreduce,839.4250035053119,0.15614497954273834,854.1100032743998,0.15346032653582037
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,4,1024,Allreduce,510.57300152024254,0.25671549339610633,943.5399988433346,0.13891514950153502
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,4,1024,Allreduce,482.8629971598275,0.271447596463092,995.5049972631969,0.13166382927291975
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,4,1024,Allreduce,598.3649971312843,0.21905024630182726,843.746995087713,0.15534514583530365
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,4,1024,Allreduce,561.9940056931227,0.23322668689027257,964.2620061640628,0.1359298605172866
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,4,1024,Allreduce,628.3359980443493,0.20860176785661208,874.1069977986626,0.14994960608951727
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,4,1024,Allreduce,607.292000495363,0.21583027586908055,822.1329990192316,0.15942919230387675
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,8,1024,Allreduce,583.9119985466823,0.4489443625965193,976.2510017026216,0.2685211073205663
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,8,1024,Allreduce,598.4359959256835,0.4380485161065649,952.0570019958541,0.2753448579764151
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,8,1024,Allreduce,565.7649962813593,0.4633443244509841,953.6459983792156,0.2748860693019538
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,8,1024,Allreduce,621.1910003912635,0.4220022502497395,939.2120045959018,0.2791105721788427
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,8,1024,Allreduce,595.8689944236539,0.439935627551078,943.4320018044673,0.27786210293757996
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,8,1024,Allreduce,556.1220023082569,0.47137858044086933,864.6950009278953,0.30316354288933783
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,8,1024,Allreduce,576.8639966845512,0.45442946952251767,880.7379999780096,0.2976412962839633
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,8,1024,Allreduce,571.1630001314916,0.4589653040194304,1089.3470025621355,0.24064324717784086
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,8,1024,Allreduce,756.163994083181,0.34667612059185554,944.5930045330897,0.27752058160707765
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,8,1024,Allreduce,691.938003001269,0.37885475123920787,1082.508999388665,0.2421633447371273
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,16,1024,Allreduce,648.1550008174963,0.8088929335401763,1000.8399985963479,0.5238479684418093
u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,16,1024,Allreduce,738.6689976556227,0.709773933472202,1011.6869962075725,0.5182314312285866
