experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,294.2730000086158,0.027838095916921202,844.7699999578617,0.009697314062299357
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,567.6019999327764,0.014432648230573913,537.0970000058151,0.015252365959801128
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,238.17599992526084,0.03439473331725545,513.7169999898106,0.015946523085984085
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,303.0839999382806,0.027028810500284415,531.0110000209534,0.015427175707615754
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,225.86000000046624,0.036270255910666294,484.5329999625392,0.016907001175633755
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,252.45599999834667,0.032449218873996453,568.1600000571052,0.014418473667939719
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,242.89599991789146,0.033726368498325304,590.6919999461024,0.013868479682723782
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,267.3399999366666,0.030642627373160404,598.625000066022,0.01368469408911507
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,260.43699995170755,0.03145482401317413,472.62500004308095,0.01733298069135843
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,234.0779999485676,0.0349968813891095,600.0639999683699,0.013651877133825407
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,231.41899998790905,0.03539899489855201,599.9789999577843,0.013653811217686627
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,238.98899996765977,0.03427772826828243,488.0469999761772,0.01678526863273388
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,284.74499993080826,0.028769600877945598,595.0719998963905,0.01376640137903704
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,243.84300002111559,0.03359538719295044,625.2829999766618,0.013101267746453623
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,240.31200007357256,0.03408901760000326,626.1600000243561,0.013082918103490082
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,270.27700002690835,0.030309645286814704,597.6710000368257,0.013706537542385773
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,223.96100007426867,0.036577797015031256,555.00899998151,0.014760121007538462
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,256.0619999485425,0.03199225188292773,592.1939999780079,0.013833304627038136
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,280.1430000545224,0.029242208437853683,511.9280000371873,0.016002250315288322
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Scatter,294.7270000959179,0.02779521386684607,496.18900004588795,0.016509837983595763
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Scatter,222.0040000793233,0.07380047203719708,522.1870000013951,0.03137573321426276
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Scatter,237.56400003094313,0.06896667844398122,496.83499992170255,0.032976742787005735
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Scatter,250.35399994521867,0.06544333225586599,559.0519999714161,0.02930675500818833
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Scatter,252.05100007497094,0.0650027176846221,503.1399999779751,0.03256350121381168
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Scatter,210.70299999337294,0.07775874097908103,467.6120000794981,0.0350375952653366
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Scatter,226.1659999476251,0.07244236535904673,456.07300000938267,0.035924073557660585
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Scatter,349.06499990938755,0.04693681693739865,385.3370000115319,0.04251862655158907
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Scatter,243.73899998408888,0.06721944375364441,482.0389999622421,0.033988951104129236
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Scatter,236.53399989598256,0.06926699758683731,444.9829999657595,0.0368193841141363
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Scatter,241.8829999442096,0.06773522737761221,451.03000002200133,0.03632574329689995
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Scatter,242.56699998659315,0.06754422489829844,429.20199996387964,0.03817316788220658
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Scatter,236.52899994885956,0.06926846181035906,477.6389999960884,0.03430205657438814
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Scatter,174.09400004453346,0.0941100784392854,432.57499999072024,0.03787551291764775
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Scatter,239.6290000206136,0.06837235893231036,614.6189999753915,0.02665716484628037
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Scatter,167.0499999590902,0.09807841965885883,372.1509999650152,0.04402514033696056
u280_scatter,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Scatter,223.32499997901323,0.07336393149687528,439.391999975669,0.03728788872102189
