collective,number_of_nodes,rank_id,number_of_banks,size[B],rx_buffer_size[B],segment_size[B],max_pkt_size[B],execution_time[us],throughput[Gbps]
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,574.156000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,385.184000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,556.354000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,309.959000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,352.776000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,265.533000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,390.668000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,395.725000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,500.551000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,465.434000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,570.798000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,396.341000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,388.639000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,231.342000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,411.188000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,237.113000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,419.240000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,280.643000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,566.897000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,368.362000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,3753.360000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,294.156000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,468.105000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,282.667000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,369.780000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,240.942000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,499.934000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,374.282000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,499.744000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,302.028000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,393.612000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,279.897000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,389.868000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,231.854000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,550.343000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,253.341000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,414.790000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,300.516000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,474.176000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,253.454000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,1098.145000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,282.656000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,402.059000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,305.391000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,440.839000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,294.707000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,405.271000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,214.168000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,380.894000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,210.137000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,459.956000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,317.047000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,408.795000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,207.056000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,429.520000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,235.675000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,371.337000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,202.855000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,405.734000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,261.245000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,626.098000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,332.698000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,507.118000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,226.229000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,523.779000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,250.037000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,404.001000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,224.347000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,319.707000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,238.738000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,382.916000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,220.520000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,389.183000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,230.748000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,390.550000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,221.103000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,439.308000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,232.290000,0.000000
allreduce_H2H,13,12,4,131072,4194304,4194304,1536,375.192000,0.000000
allreduce_F2F,13,12,4,131072,4194304,4194304,1536,258.193000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,1246.620000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,304.243000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,493.872000,0.000000
allreduce_F2F,14,12,4,131072,4194304,4194304,1536,285.267000,0.000000
allreduce_H2H,14,12,4,131072,4194304,4194304,1536,677.683000,0.000000
