collective,number_of_nodes,rank_id,number_of_banks,size[B],rx_buffer_size[B],segment_size[B],max_pkt_size[B],execution_time[us],throughput[Gbps]
bcast_H2H,8,4,4,4194304,4194304,4194304,1536,2753.044000,0.000000
bcast_F2F,8,4,4,4194304,4194304,4194304,1536,2014.458000,0.000000
bcast_H2H,8,4,4,4194304,4194304,4194304,1536,2620.583000,0.000000
bcast_F2F,8,4,4,4194304,4194304,4194304,1536,1910.050000,0.000000
bcast_H2H,8,4,4,4194304,4194304,4194304,1536,2619.040000,0.000000
bcast_F2F,8,4,4,4194304,4194304,4194304,1536,1909.560000,0.000000
bcast_H2H,8,4,4,4194304,4194304,4194304,1536,2715.493000,0.000000
bcast_F2F,8,4,4,4194304,4194304,4194304,1536,1923.737000,0.000000
bcast_H2H,8,4,4,4194304,4194304,4194304,1536,2720.903000,0.000000
bcast_F2F,8,4,4,4194304,4194304,4194304,1536,1918.466000,0.000000
bcast_H2H,8,4,4,4194304,4194304,4194304,1536,2729.710000,0.000000
bcast_F2F,8,4,4,4194304,4194304,4194304,1536,1933.685000,0.000000
bcast_H2H,8,4,4,4194304,4194304,4194304,1536,2636.293000,0.000000
bcast_F2F,8,4,4,4194304,4194304,4194304,1536,1933.846000,0.000000
bcast_H2H,8,4,4,4194304,4194304,4194304,1536,2713.659000,0.000000
bcast_F2F,8,4,4,4194304,4194304,4194304,1536,1938.454000,0.000000
bcast_H2H,8,4,4,4194304,4194304,4194304,1536,2625.072000,0.000000
bcast_F2F,8,4,4,4194304,4194304,4194304,1536,1931.020000,0.000000
bcast_H2H,8,4,4,4194304,4194304,4194304,1536,2698.401000,0.000000
bcast_F2F,8,4,4,4194304,4194304,4194304,1536,1922.243000,0.000000
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,2257.368000,14.864405
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,1924.720000,17.433410
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,2156.740000,15.557940
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,1821.664000,18.419660
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,2138.836000,15.688174
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,1796.580000,18.676837
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,2234.992000,15.013222
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,1820.732000,18.429089
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,2237.088000,14.999156
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,1817.888000,18.457920
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,2255.384000,14.877481
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,1831.768000,18.318058
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,2148.664000,15.616417
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,1830.512000,18.330627
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,2223.352000,15.091822
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,1828.996000,18.345820
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,2152.336000,15.589774
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,1826.472000,18.371172
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,2212.296000,15.167243
bcast_K2K,8,4,4,4194304,4194304,4194304,1536,1816.316000,18.473896
gather_H2H,8,4,4,4194304,4194304,4194304,1536,2475.720000,0.000000
gather_F2F,8,4,4,4194304,4194304,4194304,1536,1653.636000,0.000000
gather_H2H,8,4,4,4194304,4194304,4194304,1536,2373.065000,0.000000
gather_F2F,8,4,4,4194304,4194304,4194304,1536,1657.002000,0.000000
gather_H2H,8,4,4,4194304,4194304,4194304,1536,2372.165000,0.000000
gather_F2F,8,4,4,4194304,4194304,4194304,1536,1653.405000,0.000000
gather_H2H,8,4,4,4194304,4194304,4194304,1536,2377.434000,0.000000
gather_F2F,8,4,4,4194304,4194304,4194304,1536,1654.948000,0.000000
gather_H2H,8,4,4,4194304,4194304,4194304,1536,2366.223000,0.000000
gather_F2F,8,4,4,4194304,4194304,4194304,1536,1662.623000,0.000000
gather_H2H,8,4,4,4194304,4194304,4194304,1536,2377.303000,0.000000
gather_F2F,8,4,4,4194304,4194304,4194304,1536,1660.469000,0.000000
gather_H2H,8,4,4,4194304,4194304,4194304,1536,2362.796000,0.000000
gather_F2F,8,4,4,4194304,4194304,4194304,1536,1656.792000,0.000000
gather_H2H,8,4,4,4194304,4194304,4194304,1536,2374.990000,0.000000
gather_F2F,8,4,4,4194304,4194304,4194304,1536,1660.629000,0.000000
gather_H2H,8,4,4,4194304,4194304,4194304,1536,2368.807000,0.000000
