collective,number_of_nodes,rank_id,number_of_banks,size[B],rx_buffer_size[B],segment_size[B],max_pkt_size[B],execution_time[us],throughput[Gbps]
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,657.032000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,220.672000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,376.746000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,293.786000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,398.491000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,223.581000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,382.532000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,371.281000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,375.044000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,337.998000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,371.998000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,227.899000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,359.056000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,288.468000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,423.181000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,298.565000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,357.667000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,325.448000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,405.177000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,230.659000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,1187.624000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,436.292000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,587.914000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,317.556000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,438.456000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,284.338000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,555.308000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,269.055000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,402.642000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,301.870000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,418.696000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,450.570000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,402.324000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,286.101000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,511.184000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,371.422000,0.000000
allreduce_H2H,14,10,4,131072,4194304,4194304,1536,472.019000,0.000000
allreduce_F2F,14,10,4,131072,4194304,4194304,1536,314.395000,0.000000
