benchmark;count;world_size;fpga_to_host;host_to_host;host_to_host_send;host_to_fpga
sendrcv;128;2;3e-08;5.811e-06;1.5e-07;3e-08
sendrcv;128;2;2e-08;5.721e-06;1.6e-07;3e-08
sendrcv;128;2;3e-08;5.5e-06;1.4e-07;3e-08
sendrcv;128;2;2e-08;5.471e-06;1.3e-07;3e-08
sendrcv;128;2;2e-08;5.651e-06;1.1e-07;2e-08
sendrcv;128;2;3e-08;5.49e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.54e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.581e-06;1e-07;2e-08
sendrcv;128;2;2e-08;5.671e-06;1.1e-07;2e-08
sendrcv;128;2;2e-08;5.49e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.51e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.871e-06;1.01e-07;3e-08
sendrcv;128;2;3e-08;5.631e-06;1.1e-07;2e-08
sendrcv;128;2;3e-08;5.43e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.51e-06;1.1e-07;3e-08
sendrcv;128;2;2e-08;5.53e-06;1.1e-07;2e-08
sendrcv;128;2;2e-08;5.5e-06;1.2e-07;3e-08
sendrcv;128;2;3e-08;5.491e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.491e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.481e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.551e-06;1.1e-07;2e-08
sendrcv;128;2;3e-08;5.55e-06;1e-07;3e-08
sendrcv;128;2;3e-08;5.55e-06;1.2e-07;3e-08
sendrcv;128;2;3e-08;5.521e-06;1.11e-07;3e-08
sendrcv;128;2;3e-08;5.551e-06;1.01e-07;3e-08
sendrcv;128;2;3e-08;5.631e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.501e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.711e-06;1.2e-07;2e-08
sendrcv;128;2;2.1e-08;5.66e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.711e-06;1e-07;3e-08
sendrcv;128;2;3e-08;5.58e-06;1.1e-07;4e-08
sendrcv;128;2;3e-08;5.54e-06;1.11e-07;3.1e-08
sendrcv;128;2;3e-08;5.45e-06;1.1e-07;4.1e-08
sendrcv;128;2;3e-08;5.561e-06;1.1e-07;4e-08
sendrcv;128;2;3e-08;5.531e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.541e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.36e-06;1e-07;2e-08
sendrcv;128;2;2e-08;5.55e-06;1.21e-07;3e-08
sendrcv;128;2;3e-08;5.48e-06;1.11e-07;3e-08
sendrcv;128;2;2e-08;5.47e-06;1.11e-07;3e-08
sendrcv;128;2;3e-08;5.5e-06;1.01e-07;3e-08
sendrcv;128;2;3e-08;5.49e-06;1.11e-07;3e-08
sendrcv;128;2;3e-08;5.52e-06;1.4e-07;3e-08
sendrcv;128;2;4e-08;5.53e-06;1.4e-07;3.1e-08
sendrcv;128;2;3e-08;5.561e-06;1.1e-07;3e-08
sendrcv;128;2;4e-08;5.561e-06;1.3e-07;3e-08
sendrcv;128;2;3e-08;5.411e-06;1.41e-07;3e-08
sendrcv;128;2;3e-08;5.471e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.481e-06;1.2e-07;3e-08
sendrcv;128;2;2e-08;5.491e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.581e-06;1.1e-07;2e-08
sendrcv;128;2;3e-08;5.521e-06;1.01e-07;3e-08
sendrcv;128;2;3e-08;5.55e-06;1.11e-07;3e-08
sendrcv;128;2;3e-08;5.57e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.56e-06;1.1e-07;3.1e-08
sendrcv;128;2;2e-08;5.591e-06;1.1e-07;2e-08
sendrcv;128;2;3e-08;5.551e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.561e-06;1.01e-07;3e-08
sendrcv;128;2;3e-08;5.51e-06;1.2e-07;3e-08
sendrcv;128;2;3e-08;5.54e-06;1.1e-07;2e-08
sendrcv;128;2;3e-08;5.56e-06;1e-07;2e-08
sendrcv;128;2;3e-08;5.561e-06;1.1e-07;3e-08
sendrcv;128;2;2e-08;5.511e-06;1.1e-07;3e-08
sendrcv;128;2;2e-08;5.571e-06;1.11e-07;3e-08
sendrcv;128;2;3.1e-08;5.46e-06;1e-07;2e-08
sendrcv;128;2;2e-08;5.521e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.551e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.53e-06;1e-07;3e-08
sendrcv;128;2;3e-08;5.53e-06;1e-07;3e-08
sendrcv;128;2;3e-08;5.52e-06;1.1e-07;3.1e-08
sendrcv;128;2;3e-08;5.531e-06;1.01e-07;3e-08
sendrcv;128;2;3e-08;5.491e-06;1.11e-07;2e-08
sendrcv;128;2;3.1e-08;5.48e-06;1e-07;2e-08
sendrcv;128;2;3e-08;5.511e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.481e-06;1e-07;3e-08
sendrcv;128;2;3e-08;5.651e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.58e-06;1e-07;3e-08
sendrcv;128;2;3e-08;5.44e-06;1.11e-07;3e-08
sendrcv;128;2;3e-08;5.45e-06;1.1e-07;3e-08
sendrcv;128;2;3e-08;5.51e-06;1.21e-07;3e-08
sendrcv;128;2;2e-08;5.47e-06;1.11e-07;3e-08
sendrcv;128;2;2e-08;5.46e-06;1.11e-07;3e-08
