benchmark;count;world_size;fpga_to_host;host_to_host;host_to_host_send;host_to_fpga
broadcast;128;5;-57834;57834;;8e-08
broadcast;128;5;-57834;57834;;2.81e-07
broadcast;128;5;-57834;57834;;2.71e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;2.9e-07
broadcast;128;5;-57834;57834;;2.9e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3e-08
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;2.9e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3e-08
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;2.8e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3.11e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.1e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;3.01e-07
broadcast;128;5;-57834;57834;;2.9e-07
broadcast;128;5;-57834;57834;;2.91e-07
broadcast;128;5;-57834;57834;;3.21e-07
broadcast;128;5;-57834;57834;;3.21e-07
