benchmark;count;world_size;fpga_to_host;host_to_host;host_to_host_send;host_to_fpga
broadcast;128;6;-5569.85;5569.85;;9e-08
broadcast;128;6;-5569.85;5569.85;;2.5e-07
broadcast;128;6;-5569.85;5569.85;;2e-08
broadcast;128;6;-5569.85;5569.85;;2.61e-07
broadcast;128;6;-5569.85;5569.85;;3e-08
broadcast;128;6;-5569.85;5569.85;;3.1e-07
broadcast;128;6;-5569.85;5569.85;;4e-08
broadcast;128;6;-5569.85;5569.85;;3.01e-07
broadcast;128;6;-5569.85;5569.85;;3e-08
broadcast;128;6;-5569.85;5569.85;;2.51e-07
broadcast;128;6;-5569.85;5569.85;;3e-08
broadcast;128;6;-5569.85;5569.85;;3.11e-07
broadcast;128;6;-5569.85;5569.85;;3e-08
broadcast;128;6;-5569.85;5569.85;;2.6e-07
broadcast;128;6;-5569.85;5569.85;;2e-08
broadcast;128;6;-5569.85;5569.85;;2.6e-07
broadcast;128;6;-5569.85;5569.85;;3e-08
broadcast;128;6;-5569.85;5569.85;;2.7e-07
broadcast;128;6;-5569.85;5569.85;;2.31e-07
broadcast;128;6;-5569.85;5569.85;;2.61e-07
broadcast;128;6;-5569.85;5569.85;;3e-08
broadcast;128;6;-5569.85;5569.85;;2.3e-07
broadcast;128;6;-5569.85;5569.85;;2e-08
broadcast;128;6;-5569.85;5569.85;;2.61e-07
broadcast;128;6;-5569.85;5569.85;;2.61e-07
broadcast;128;6;-5569.85;5569.85;;2.6e-07
broadcast;128;6;-5569.85;5569.85;;3.1e-08
broadcast;128;6;-5569.85;5569.85;;2.61e-07
broadcast;128;6;-5569.85;5569.85;;3e-08
broadcast;128;6;-5569.85;5569.85;;2.61e-07
broadcast;128;6;-5569.85;5569.85;;2.61e-07
broadcast;128;6;-5569.85;5569.85;;2.61e-07
broadcast;128;6;-5569.85;5569.85;;2e-08
broadcast;128;6;-5569.85;5569.85;;2.6e-07
broadcast;128;6;-5569.85;5569.85;;3e-08
broadcast;128;6;-5569.85;5569.85;;3.01e-07
broadcast;128;6;-5569.85;5569.85;;2.51e-07
broadcast;128;6;-5569.85;5569.85;;2.6e-07
broadcast;128;6;-5569.85;5569.85;;3e-08
broadcast;128;6;-5569.85;5569.85;;2.61e-07
broadcast;128;6;-5569.85;5569.85;;3e-08
broadcast;128;6;-5569.85;5569.85;;2.7e-07
broadcast;128;6;-5569.85;5569.85;;3e-08
broadcast;128;6;-5569.85;5569.85;;2.7e-07
broadcast;128;6;-5569.85;5569.85;;2e-08
broadcast;128;6;-5569.85;5569.85;;2.61e-07
broadcast;128;6;-5569.85;5569.85;;3e-08
broadcast;128;6;-5569.85;5569.85;;2.6e-07
broadcast;128;6;-5569.85;5569.85;;3e-08
broadcast;128;6;-5569.85;5569.85;;3.01e-07
broadcast;128;6;-5569.85;5569.85;;3e-08
broadcast;128;6;-5569.85;5569.85;;2.6e-07
broadcast;128;6;-5569.85;5569.85;;2e-08
broadcast;128;6;-5569.85;5569.85;;3e-07
broadcast;128;6;-5569.85;5569.85;;3e-08
