benchmark;count;world_size;fpga_to_host;host_to_host;host_to_host_send;host_to_fpga
broadcast;128;5;-5561.86;5561.86;;9e-08
broadcast;128;5;-5561.86;5561.86;;2.51e-07
broadcast;128;5;-5561.86;5561.86;;2.8e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3.1e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;2.61e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.11e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.81e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.81e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;3.11e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.11e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.11e-07
broadcast;128;5;-5561.86;5561.86;;2.81e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.11e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3.11e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.11e-07
broadcast;128;5;-5561.86;5561.86;;2.8e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.8e-07
broadcast;128;5;-5561.86;5561.86;;2.8e-07
broadcast;128;5;-5561.86;5561.86;;2.81e-07
broadcast;128;5;-5561.86;5561.86;;2.81e-07
broadcast;128;5;-5561.86;5561.86;;2.81e-07
broadcast;128;5;-5561.86;5561.86;;2.81e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;2.81e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.8e-07
broadcast;128;5;-5561.86;5561.86;;2.81e-07
broadcast;128;5;-5561.86;5561.86;;2.81e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3.11e-07
broadcast;128;5;-5561.86;5561.86;;3.11e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;2.9e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;3.01e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
broadcast;128;5;-5561.86;5561.86;;2.91e-07
broadcast;128;5;-5561.86;5561.86;;3e-07
