benchmark;count;world_size;fpga_to_host;host_to_host;host_to_host_send;host_to_fpga
allreduce;8192;3;3e-08;2.1421e-05;;3e-08
allreduce;8192;3;2e-08;2.0559e-05;;3e-08
allreduce;8192;3;3e-08;2.0589e-05;;3e-08
allreduce;8192;3;2e-08;2.115e-05;;3.1e-08
allreduce;8192;3;2e-08;2.083e-05;;3e-08
allreduce;8192;3;3e-08;2.0409e-05;;2e-08
allreduce;8192;3;3e-08;2.0309e-05;;2e-08
allreduce;8192;3;3e-08;2.1e-05;;3e-08
allreduce;8192;3;3e-08;2.091e-05;;3e-08
allreduce;8192;3;3e-08;2.0359e-05;;3e-08
allreduce;8192;3;2e-08;2.0539e-05;;3e-08
allreduce;8192;3;3e-08;2.076e-05;;3e-08
