benchmark;count;world_size;fpga_to_host;host_to_host;host_to_host_send;host_to_fpga
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3.1e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;3.1e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;3e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
broadcast;128;3;-5549.65;5549.65;;2e-08
