benchmark;count;world_size;fpga_to_host;host_to_host;host_to_host_send;host_to_fpga
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;4e-08
sendrcv;128;2;-5545.07;5545.07;;3.1e-08
sendrcv;128;2;-5545.07;5545.07;;4.1e-08
sendrcv;128;2;-5545.07;5545.07;;4e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3.1e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3.1e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3.1e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3.1e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
sendrcv;128;2;-5545.07;5545.07;;2e-08
sendrcv;128;2;-5545.07;5545.07;;3e-08
