collective,count,number_of_nodes,host_to_fpga,fpga_to_host,size
reduce,1048576,10,366.73252,378.736744,4194304
scatter,128,2,10.631324,10.103188,512
scatter,128,3,10.809708,12.158016,512
scatter,128,4,13.69166,15.195592,512
scatter,128,5,13.701148,14.891572,512
scatter,128,6,13.916476,15.293252,512
scatter,128,7,14.627984,15.19736,512
scatter,128,8,11.19482,16.031616,512
scatter,128,9,13.12958,14.494016,512
scatter,128,10,11.0243,16.171804,512
scatter,256,2,10.731,10.130736,1024
scatter,256,3,10.898724,12.299156,1024
scatter,256,4,11.375008,11.86344,1024
scatter,256,5,11.618656,11.70004,1024
scatter,256,6,11.585564,11.63808,1024
scatter,256,7,12.453888,12.068088,1024
scatter,256,8,11.654764,12.179156,1024
scatter,256,9,11.573012,11.787708,1024
scatter,256,10,11.6218,12.1589,1024
scatter,512,2,10.669664,10.236132,2048
scatter,512,3,11.231524,12.42392,2048
scatter,512,4,11.45086,11.958752,2048
scatter,512,5,12.2491,11.896944,2048
scatter,512,6,11.944072,11.721824,2048
scatter,512,7,12.958516,12.173084,2048
scatter,512,8,12.320084,12.140148,2048
scatter,512,9,12.302412,11.835776,2048
scatter,512,10,12.264504,12.300784,2048
scatter,1024,2,11.113352,10.204804,4096
scatter,1024,3,11.665792,12.25154,4096
scatter,1024,4,12.115812,11.992724,4096
scatter,1024,5,12.860852,11.886956,4096
scatter,1024,6,13.335312,11.897696,4096
scatter,1024,7,13.883368,11.892364,4096
scatter,1024,8,13.860624,12.137184,4096
scatter,1024,9,13.611144,12.161788,4096
scatter,1024,10,14.061676,12.178884,4096
scatter,2048,2,11.715312,10.584408,8192
scatter,2048,3,12.615036,12.336624,8192
scatter,2048,4,13.97976,12.284976,8192
scatter,2048,5,14.477384,12.259584,8192
scatter,2048,6,15.287876,12.404264,8192
scatter,2048,7,16.13746,12.188732,8192
scatter,2048,8,16.277964,12.505016,8192
scatter,2048,9,41.808532,13.095472,8192
scatter,2048,10,17.305444,13.273584,8192
scatter,4096,2,13.330788,11.364384,16384
scatter,4096,3,14.445328,13.1186,16384
scatter,4096,4,16.261712,12.856524,16384
scatter,4096,5,17.317012,12.781664,16384
scatter,4096,6,18.621872,13.002996,16384
scatter,4096,7,19.916704,13.036088,16384
scatter,4096,8,21.103324,15.822044,16384
scatter,4096,9,22.017884,16.771828,16384
scatter,4096,10,25.748312,15.644492,16384
scatter,8192,2,15.228908,12.698496,32768
scatter,8192,3,17.949004,14.491168,32768
scatter,8192,4,21.028672,14.227072,32768
scatter,8192,5,23.412512,14.299192,32768
scatter,8192,6,26.326816,14.581192,32768
scatter,8192,7,28.460312,14.652756,32768
scatter,8192,8,31.415972,14.70936,32768
scatter,8192,9,33.575336,14.793584,32768
scatter,8192,10,37.071048,14.9202,32768
scatter,16384,2,20.303376,15.18758,65536
scatter,16384,3,26.131396,17.256628,65536
scatter,16384,4,31.258892,16.92686,65536
scatter,16384,5,36.3942,17.47508,65536
scatter,16384,6,41.52236,17.509284,65536
scatter,16384,7,47.111276,17.848724,65536
scatter,16384,8,52.893008,17.686136,65536
scatter,16384,9,57.75294,17.679716,65536
scatter,16384,10,63.958168,17.993188,65536
scatter,32768,2,30.955084,20.169972,131072
scatter,32768,3,41.375556,22.818772,131072
scatter,32768,4,51.970528,22.604928,131072
scatter,32768,5,63.185908,23.022616,131072
scatter,32768,6,73.854864,23.245132,131072
scatter,32768,7,84.316916,23.724632,131072
scatter,32768,8,95.155488,23.45502,131072
scatter,32768,9,106.207788,23.357064,131072
scatter,32768,10,118.452124,23.982156,131072
scatter,65536,2,53.084316,30.771352,262144
scatter,65536,3,73.53216,33.167648,262144
scatter,65536,4,94.454896,33.933764,262144
scatter,65536,5,115.429724,34.886612,262144
scatter,65536,6,136.7742,35.008964,262144
scatter,65536,7,158.4425,35.75502,262144
scatter,65536,8,180.620784,36.17536,262144
scatter,65536,9,204.016724,37.312432,262144
scatter,65536,10,237.537676,47.74864,262144
scatter,131072,2,93.721828,52.770552,524288
scatter,131072,3,135.999868,54.967012,524288
scatter,131072,4,179.314064,56.136744,524288
scatter,131072,5,231.488412,70.045852,524288
scatter,131072,6,273.15686,70.136804,524288
scatter,131072,7,316.534452,71.314308,524288
scatter,131072,8,357.38668,71.332032,524288
scatter,131072,9,403.420796,70.08838,524288
scatter,131072,10,453.555184,71.616056,524288
scatter,262144,2,178.874324,95.993348,1048576
scatter,262144,3,273.142148,110.136016,1048576
scatter,262144,4,355.192264,110.60834,1048576
scatter,262144,5,441.666124,117.652796,1048576
scatter,262144,6,527.036016,120.627884,1048576
scatter,262144,7,609.282224,118.979108,1048576
scatter,262144,8,699.007988,122.195132,1048576
scatter,262144,9,780.630472,121.69696,1048576
scatter,262144,10,873.739736,125.491348,1048576
scatter,524288,2,357.07542,182.484996,2097152
scatter,524288,3,523.978572,199.64804,2097152
scatter,524288,4,696.003036,201.5738,2097152
scatter,524288,5,863.366792,214.026188,2097152
scatter,524288,6,1034.20148,219.189644,2097152
scatter,524288,7,1197.82752,222.562456,2097152
scatter,524288,8,1362.53084,219.609728,2097152
scatter,524288,9,1543.81704,221.013876,2097152
scatter,524288,10,1716.10492,224.988724,2097152
scatter,1048576,2,688.589672,354.248308,4194304
scatter,1048576,3,1021.53948,388.9289,4194304
scatter,1048576,4,1352.20348,394.982756,4194304
scatter,1048576,5,1682.71828,417.262436,4194304
scatter,1048576,6,2013.43668,416.55934,4194304
scatter,1048576,7,2341.83944,415.955828,4194304
scatter,1048576,8,2683.84764,406.338288,4194304
scatter,1048576,9,3020.84688,414.313096,4194304
scatter,1048576,10,3418.18068,416.24046,4194304
sendrcv,128,2,10.674956,10.187552,512
sendrcv,256,2,10.66604,10.128632,1024
sendrcv,512,2,10.746308,10.240372,2048
sendrcv,1024,2,10.69968,10.213792,4096
sendrcv,2048,2,11.054932,10.56814,8192
sendrcv,4096,2,12.011544,11.349256,16384
sendrcv,8192,2,13.227004,12.588672,32768
sendrcv,16384,2,15.281964,14.50558,65536
sendrcv,32768,2,20.461512,19.709732,131072
sendrcv,65536,2,31.076608,30.563692,262144
sendrcv,131072,2,54.531504,52.154728,524288
sendrcv,262144,2,95.004712,96.01156,1048576
sendrcv,524288,2,188.214828,182.302752,2097152
sendrcv,1048576,2,359.125188,353.839024,4194304
alltoall,128,2,10.631324,11.139624,512
alltoall,128,3,10.809708,12.037524,512
alltoall,128,4,13.69166,11.421684,512
alltoall,128,5,13.701148,12.349108,512
alltoall,128,6,13.916476,12.186476,512
alltoall,128,7,14.627984,12.381828,512
alltoall,128,8,11.19482,11.991172,512
alltoall,128,9,13.12958,12.389336,512
alltoall,128,10,11.0243,12.364032,512
alltoall,256,2,10.731,11.263836,1024
alltoall,256,3,10.898724,12.169684,1024
alltoall,256,4,11.375008,11.509228,1024
alltoall,256,5,11.618656,12.570948,1024
alltoall,256,6,11.585564,12.5416,1024
alltoall,256,7,12.453888,12.603036,1024
alltoall,256,8,11.654764,12.409464,1024
alltoall,256,9,11.573012,12.815452,1024
alltoall,256,10,11.6218,12.30434,1024
alltoall,512,2,10.669664,11.227472,2048
alltoall,512,3,11.231524,12.490172,2048
alltoall,512,4,11.45086,11.87734,2048
alltoall,512,5,12.2491,13.12334,2048
alltoall,512,6,11.944072,12.842128,2048
alltoall,512,7,12.958516,13.290536,2048
alltoall,512,8,12.320084,13.151328,2048
alltoall,512,9,12.302412,13.51362,2048
alltoall,512,10,12.264504,13.010156,2048
alltoall,1024,2,11.113352,11.650184,4096
alltoall,1024,3,11.665792,12.926968,4096
alltoall,1024,4,12.115812,12.619156,4096
alltoall,1024,5,12.860852,13.98462,4096
alltoall,1024,6,13.335312,13.803752,4096
alltoall,1024,7,13.883368,14.17928,4096
alltoall,1024,8,13.860624,14.478092,4096
alltoall,1024,9,13.611144,14.680404,4096
alltoall,1024,10,14.061676,14.610248,4096
alltoall,2048,2,11.715312,12.232524,8192
alltoall,2048,3,12.615036,13.723608,8192
alltoall,2048,4,13.97976,13.978512,8192
alltoall,2048,5,14.477384,15.51648,8192
alltoall,2048,6,15.287876,15.590328,8192
alltoall,2048,7,16.13746,16.209376,8192
alltoall,2048,8,16.277964,16.7704,8192
alltoall,2048,9,41.808532,28.035912,8192
alltoall,2048,10,17.305444,17.596732,8192
alltoall,4096,2,13.330788,13.44476,16384
alltoall,4096,3,14.445328,15.171372,16384
alltoall,4096,4,16.261712,16.003144,16384
alltoall,4096,5,17.317012,17.653624,16384
alltoall,4096,6,18.621872,18.821172,16384
alltoall,4096,7,19.916704,19.783616,16384
alltoall,4096,8,21.103324,21.512804,16384
alltoall,4096,9,22.017884,22.891848,16384
alltoall,4096,10,25.748312,24.07494,16384
alltoall,8192,2,15.228908,15.518508,32768
alltoall,8192,3,17.949004,18.775472,32768
alltoall,8192,4,21.028672,20.926336,32768
alltoall,8192,5,23.412512,24.13496,32768
alltoall,8192,6,26.326816,26.907148,32768
alltoall,8192,7,28.460312,29.221116,32768
alltoall,8192,8,31.415972,32.255404,32768
alltoall,8192,9,33.575336,35.046692,32768
alltoall,8192,10,37.071048,37.997908,32768
alltoall,16384,2,20.303376,20.667396,65536
alltoall,16384,3,26.131396,27.421956,65536
alltoall,16384,4,31.258892,31.734028,65536
alltoall,16384,5,36.3942,37.70572,65536
alltoall,16384,6,41.52236,43.008176,65536
alltoall,16384,7,47.111276,47.918276,65536
alltoall,16384,8,52.893008,54.368716,65536
alltoall,16384,9,57.75294,59.396952,65536
alltoall,16384,10,63.958168,66.202092,65536
alltoall,32768,2,30.955084,31.652004,131072
alltoall,32768,3,41.375556,43.039244,131072
alltoall,32768,4,51.970528,53.179676,131072
alltoall,32768,5,63.185908,65.41902,131072
alltoall,32768,6,73.854864,79.654528,131072
alltoall,32768,7,84.316916,85.955672,131072
alltoall,32768,8,95.155488,97.266888,131072
alltoall,32768,9,106.207788,108.125704,131072
alltoall,32768,10,118.452124,122.47484,131072
alltoall,65536,2,53.084316,54.7635,262144
alltoall,65536,3,73.53216,76.270264,262144
alltoall,65536,4,94.454896,97.158116,262144
alltoall,65536,5,115.429724,119.032412,262144
alltoall,65536,6,136.7742,140.687204,262144
alltoall,65536,7,158.4425,172.870432,262144
alltoall,65536,8,180.620784,184.559676,262144
alltoall,65536,9,204.016724,206.236952,262144
alltoall,65536,10,237.537676,245.162064,262144
alltoall,131072,2,93.721828,96.489732,524288
alltoall,131072,3,135.999868,140.290908,524288
alltoall,131072,4,179.314064,183.864028,524288
alltoall,131072,5,231.488412,237.594928,524288
alltoall,131072,6,273.15686,281.309904,524288
alltoall,131072,7,316.534452,326.802648,524288
alltoall,131072,8,357.38668,368.243416,524288
alltoall,131072,9,403.420796,413.680016,524288
alltoall,131072,10,453.555184,457.570912,524288
alltoall,262144,2,178.874324,183.41662,1048576
alltoall,262144,3,273.142148,280.929308,1048576
alltoall,262144,4,355.192264,367.888936,1048576
alltoall,262144,5,441.666124,454.941312,1048576
alltoall,262144,6,527.036016,542.823272,1048576
alltoall,262144,7,609.282224,624.450224,1048576
alltoall,262144,8,699.007988,714.099352,1048576
alltoall,262144,9,780.630472,806.072668,1048576
alltoall,262144,10,873.739736,894.111696,1048576
alltoall,524288,2,357.07542,364.822036,2097152
alltoall,524288,3,523.978572,536.55704,2097152
alltoall,524288,4,696.003036,709.515884,2097152
alltoall,524288,5,863.366792,882.47792,2097152
alltoall,524288,6,1034.20148,1056.85848,2097152
alltoall,524288,7,1197.82752,1225.68748,2097152
alltoall,524288,8,1362.53084,1391.77944,2097152
alltoall,524288,9,1543.81704,1577.41532,2097152
alltoall,524288,10,1716.10492,1769.29,2097152
alltoall,1048576,2,688.589672,704.529716,4194304
alltoall,1048576,3,1021.53948,1048.41472,4194304
alltoall,1048576,4,1352.20348,1389.46956,4194304
alltoall,1048576,5,1682.71828,1730.39552,4194304
alltoall,1048576,6,2013.43668,2071.16908,4194304
alltoall,1048576,7,2341.83944,2412.06268,4194304
alltoall,1048576,8,2683.84764,2759.74304,4194304
alltoall,1048576,9,3020.84688,3093.5444,4194304
alltoall,1048576,10,3418.18068,3438.89632,4194304
